epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,798.183,0.48606,0.44442,0.82859,0.93955,0.94928,0.97682,0.90819,0.36114,0.37357,0.7894,0.00147788,0.00147788,0.00147788
43,816.048,0.48666,0.44953,0.82748,0.92015,0.96017,0.97397,0.89794,0.36938,0.36379,0.78984,0.00144075,0.00144075,0.00144075
44,833.869,0.4756,0.43441,0.82266,0.95044,0.92823,0.9745,0.90148,0.35024,0.37202,0.78492,0.00140363,0.00140363,0.00140363
45,851.691,0.48469,0.43941,0.82614,0.9563,0.93573,0.97428,0.90204,0.35668,0.36469,0.78694,0.0013665,0.0013665,0.0013665
46,869.595,0.48287,0.44117,0.82351,0.95585,0.93935,0.97858,0.90726,0.3636,0.37005,0.78817,0.00132938,0.00132938,0.00132938
47,887.489,0.47234,0.41634,0.8172,0.94601,0.92465,0.96677,0.89622,0.34941,0.42181,0.7865,0.00129225,0.00129225,0.00129225
48,905.352,0.46437,0.41946,0.82394,0.95426,0.95614,0.98027,0.91086,0.34827,0.33676,0.78632,0.00125512,0.00125512,0.00125512
49,923.25,0.46808,0.42143,0.82489,0.96228,0.96625,0.98168,0.91599,0.34551,0.33138,0.78453,0.001218,0.001218,0.001218
50,941.187,0.45837,0.41045,0.82113,0.95312,0.94944,0.97848,0.91617,0.33694,0.33872,0.78058,0.00118087,0.00118087,0.00118087
51,959.067,0.45168,0.40103,0.82098,0.95372,0.94011,0.97768,0.91696,0.32605,0.35751,0.77971,0.00114375,0.00114375,0.00114375
52,977.028,0.44896,0.42519,0.82629,0.93261,0.95439,0.97773,0.91779,0.33533,0.35113,0.77968,0.00110663,0.00110663,0.00110663
53,994.937,0.45092,0.40837,0.81828,0.95175,0.95497,0.98075,0.91944,0.32046,0.32962,0.78185,0.0010695,0.0010695,0.0010695
54,1012.87,0.43813,0.38563,0.81822,0.97117,0.94608,0.9794,0.92059,0.32226,0.32523,0.78001,0.00103238,0.00103238,0.00103238
55,1030.72,0.43805,0.3893,0.81502,0.95627,0.95043,0.97864,0.92018,0.32349,0.33349,0.77815,0.00099525,0.00099525,0.00099525
56,1048.73,0.43619,0.38399,0.82098,0.96724,0.95172,0.9811,0.9192,0.31978,0.31312,0.77973,0.000958125,0.000958125,0.000958125
57,1066.55,0.44938,0.39938,0.81886,0.96236,0.94927,0.97748,0.91604,0.32023,0.32739,0.78059,0.000921,0.000921,0.000921
58,1084.96,0.43168,0.37716,0.81107,0.95547,0.95132,0.97916,0.92037,0.31613,0.33269,0.7796,0.000883875,0.000883875,0.000883875
59,1103.97,0.42286,0.37873,0.81601,0.97363,0.95646,0.98224,0.92474,0.31563,0.30499,0.78025,0.00084675,0.00084675,0.00084675
60,1122.82,0.43146,0.38725,0.81168,0.94925,0.95021,0.98108,0.92376,0.31027,0.33648,0.77656,0.000809625,0.000809625,0.000809625
61,1141.54,0.41705,0.36926,0.81083,0.96238,0.95994,0.98014,0.92132,0.32248,0.322,0.7841,0.0007725,0.0007725,0.0007725
62,1160.17,0.41261,0.36166,0.81494,0.95074,0.96109,0.98093,0.92865,0.30388,0.31595,0.77722,0.000735375,0.000735375,0.000735375
63,1178.75,0.41258,0.35951,0.81493,0.96571,0.95596,0.98259,0.92773,0.29832,0.31286,0.77766,0.00069825,0.00069825,0.00069825
64,1197.48,0.40803,0.35667,0.8124,0.97127,0.96741,0.9852,0.93122,0.2983,0.29418,0.77552,0.000661125,0.000661125,0.000661125
65,1216.24,0.40691,0.35706,0.81344,0.9579,0.95987,0.98306,0.93076,0.30123,0.30858,0.77676,0.000624,0.000624,0.000624
66,1235.8,0.39716,0.34373,0.81067,0.95252,0.95908,0.97891,0.92742,0.30044,0.31368,0.77541,0.000586875,0.000586875,0.000586875
67,1254.49,0.40629,0.35195,0.80939,0.96812,0.95963,0.97935,0.92471,0.2954,0.30306,0.77808,0.00054975,0.00054975,0.00054975
