epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3505,1.17376,1.56384,1.10813,0.64692,0.7944,0.79971,0.56076,1.00442,1.27237,1.07166,0.00141949,0.00141949,0.0683313
2,40.7863,0.96294,1.02149,1.01491,0.71084,0.79422,0.8191,0.6035,0.84328,0.92514,0.99808,0.00266001,0.00266001,0.0362997
3,59.8234,0.87361,0.88385,0.98033,0.72002,0.85037,0.84882,0.62554,0.88647,0.84112,1.00454,0.00371316,0.00371316,0.00408081
4,78.7269,0.83799,0.82045,0.96339,0.85005,0.84486,0.91257,0.72761,0.69132,0.65297,0.93998,0.0034453,0.0034453,0.0034453
5,97.8503,0.78498,0.72715,0.93296,0.86006,0.8275,0.90709,0.72789,0.66768,0.61403,0.92834,0.00316373,0.00316373,0.00316373
6,116.877,0.73587,0.70831,0.92274,0.87835,0.87085,0.92918,0.76861,0.60495,0.54144,0.91115,0.00288217,0.00288217,0.00288217
7,141.074,0.69753,0.68024,0.93599,0.85111,0.855,0.90833,0.74496,0.62055,0.59594,0.92141,0.0026006,0.0026006,0.0026006
8,159.774,0.68267,0.65344,0.9325,0.89325,0.90803,0.9565,0.78952,0.60322,0.50813,0.91451,0.00231903,0.00231903,0.00231903
9,178.592,0.6586,0.62819,0.9208,0.88585,0.89017,0.94446,0.77232,0.6419,0.54754,0.92346,0.00203746,0.00203746,0.00203746
10,197.606,0.61744,0.57125,0.91171,0.88787,0.90331,0.94883,0.79639,0.57995,0.49227,0.90648,0.0017559,0.0017559,0.0017559
11,216.497,0.59945,0.55139,0.89784,0.92162,0.89003,0.95836,0.81531,0.55994,0.45595,0.89505,0.00147433,0.00147433,0.00147433
12,235.373,0.55579,0.51063,0.88454,0.93222,0.90823,0.95931,0.83558,0.48376,0.4302,0.87986,0.00119276,0.00119276,0.00119276
13,254.405,0.52739,0.4691,0.87229,0.92443,0.91316,0.96452,0.84763,0.47662,0.42531,0.87748,0.000911196,0.000911196,0.000911196
14,273.185,0.49443,0.4478,0.86211,0.9205,0.94364,0.97587,0.86592,0.4682,0.379,0.8734,0.000629629,0.000629629,0.000629629
15,291.895,0.46914,0.4115,0.85753,0.93898,0.92353,0.97548,0.87035,0.44017,0.37772,0.86943,0.000348062,0.000348062,0.000348062
