epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.5163,0.82799,4.91182,0.0053,0.54786,0.72698,0.63409,0.5261,0.53786,1.11295,0.00352,0.000287241,0.000287241,0.000287241
2,94.4236,0.63993,1.35819,0.00392,0.7414,0.79092,0.81296,0.67327,0.47522,0.65608,0.00311,0.000573862,0.000573862,0.000573862
3,138.93,0.60304,0.88122,0.00367,0.84765,0.82693,0.89619,0.73957,0.49712,0.47726,0.00325,0.000822004,0.000822004,0.000822004
4,182.079,0.55991,0.69345,0.00341,0.86921,0.86778,0.91618,0.78139,0.45574,0.43636,0.00298,0.000816507,0.000816507,0.000816507
5,224.949,0.53256,0.60747,0.00317,0.88341,0.87278,0.92128,0.78376,0.45892,0.41761,0.00303,0.000811009,0.000811009,0.000811009
6,267.671,0.49382,0.54588,0.00294,0.84691,0.88831,0.91551,0.79709,0.40354,0.42559,0.00261,0.000805511,0.000805511,0.000805511
7,310.282,0.49276,0.53134,0.0029,0.8674,0.87948,0.92394,0.79793,0.42794,0.41523,0.00279,0.000800013,0.000800013,0.000800013
8,352.408,0.46538,0.44156,0.00283,0.88211,0.89186,0.93234,0.82035,0.38987,0.40306,0.00252,0.000794515,0.000794515,0.000794515
9,394.899,0.4418,0.42878,0.00263,0.89975,0.92556,0.95513,0.84071,0.38641,0.33102,0.00251,0.000789018,0.000789018,0.000789018
10,437.565,0.4371,0.43006,0.00263,0.91904,0.91711,0.95781,0.85191,0.3605,0.3101,0.00231,0.00078352,0.00078352,0.00078352
11,480.294,0.42088,0.37424,0.00248,0.92505,0.91806,0.94835,0.85774,0.32746,0.32518,0.00209,0.000778022,0.000778022,0.000778022
12,522.929,0.40316,0.37272,0.00239,0.93191,0.90265,0.95603,0.86179,0.34418,0.3055,0.00222,0.000772524,0.000772524,0.000772524
13,565.293,0.39087,0.34979,0.00231,0.92478,0.9077,0.94901,0.85268,0.3301,0.3367,0.00213,0.000767026,0.000767026,0.000767026
14,608.005,0.39546,0.3802,0.00232,0.91702,0.90272,0.94915,0.85434,0.35167,0.33217,0.00228,0.000761529,0.000761529,0.000761529
15,650.548,0.38841,0.33964,0.0023,0.92539,0.92325,0.95691,0.8738,0.30731,0.30309,0.00197,0.000756031,0.000756031,0.000756031
16,692.996,0.38073,0.34394,0.00225,0.94023,0.93004,0.96431,0.88049,0.3193,0.2846,0.00205,0.000750533,0.000750533,0.000750533
17,735.573,0.38951,0.33576,0.00227,0.92746,0.92226,0.95033,0.8591,0.34407,0.32376,0.00219,0.000745035,0.000745035,0.000745035
18,777.84,0.37608,0.30856,0.0022,0.93411,0.92408,0.9694,0.89424,0.30343,0.26384,0.00194,0.000739537,0.000739537,0.000739537
19,820.583,0.3608,0.3154,0.00209,0.94297,0.93298,0.96311,0.89091,0.29429,0.27067,0.00185,0.00073404,0.00073404,0.00073404
20,863.119,0.35362,0.29889,0.00208,0.94033,0.91768,0.96698,0.884,0.32523,0.27323,0.00207,0.000728542,0.000728542,0.000728542
21,905.733,0.34637,0.30116,0.002,0.9299,0.9369,0.96674,0.89963,0.2897,0.25261,0.00182,0.000723044,0.000723044,0.000723044
22,952.358,0.36186,0.3193,0.00208,0.95049,0.91304,0.96307,0.89089,0.30052,0.2773,0.0019,0.000717546,0.000717546,0.000717546
23,994.293,0.3427,0.27727,0.00201,0.91644,0.94099,0.9676,0.89524,0.29699,0.27018,0.0019,0.000712048,0.000712048,0.000712048
24,1036.27,0.33963,0.28524,0.00199,0.91956,0.94382,0.968,0.89675,0.30254,0.2582,0.00191,0.000706551,0.000706551,0.000706551
25,1077.45,0.34711,0.28441,0.00199,0.94364,0.94887,0.97276,0.89552,0.31398,0.24698,0.00201,0.000701053,0.000701053,0.000701053
26,1118.94,0.33004,0.25292,0.00193,0.94633,0.94889,0.9746,0.9007,0.3089,0.24125,0.00199,0.000695555,0.000695555,0.000695555
27,1160.44,0.32155,0.25143,0.00187,0.94559,0.94556,0.97347,0.91342,0.27398,0.23701,0.00173,0.000690057,0.000690057,0.000690057
28,1201.36,0.31177,0.25139,0.0018,0.94936,0.93267,0.97337,0.91885,0.25266,0.24205,0.00156,0.000684559,0.000684559,0.000684559
29,1242.78,0.30674,0.23515,0.00177,0.93369,0.9535,0.97102,0.92186,0.24963,0.2417,0.00154,0.000679062,0.000679062,0.000679062
30,1284.42,0.31324,0.27021,0.0018,0.94827,0.94198,0.97272,0.90968,0.27458,0.23555,0.00172,0.000673564,0.000673564,0.000673564
31,1327.29,0.31877,0.24099,0.00183,0.94036,0.94159,0.97176,0.90922,0.27728,0.25604,0.00174,0.000668066,0.000668066,0.000668066
32,1368.43,0.30323,0.23991,0.00174,0.94841,0.94067,0.97454,0.92318,0.25268,0.2357,0.00157,0.000662568,0.000662568,0.000662568
33,1409.45,0.30427,0.23028,0.00173,0.94977,0.93598,0.96556,0.90532,0.28025,0.26781,0.00178,0.00065707,0.00065707,0.00065707
34,1450.21,0.30075,0.23985,0.00175,0.94664,0.93637,0.97747,0.92426,0.24734,0.22796,0.00154,0.000651573,0.000651573,0.000651573
35,1491.05,0.29331,0.24018,0.00168,0.95517,0.94041,0.97293,0.91984,0.2568,0.23591,0.00161,0.000646075,0.000646075,0.000646075
36,1531.92,0.29301,0.24157,0.00164,0.94578,0.94926,0.97587,0.92081,0.25526,0.21841,0.00158,0.000640577,0.000640577,0.000640577
37,1572.69,0.28212,0.20769,0.00161,0.96157,0.9411,0.97654,0.91983,0.25369,0.23162,0.0016,0.000635079,0.000635079,0.000635079
38,1614.25,0.29021,0.20881,0.00166,0.94258,0.94282,0.97595,0.924,0.25705,0.22506,0.00161,0.000629581,0.000629581,0.000629581
39,1655.3,0.27605,0.21169,0.00156,0.95859,0.95221,0.97954,0.93641,0.24044,0.22216,0.00151,0.000624084,0.000624084,0.000624084
40,1696.26,0.28532,0.22013,0.00161,0.94119,0.96088,0.97733,0.92225,0.2503,0.20745,0.00159,0.000618586,0.000618586,0.000618586
41,1737.29,0.28244,0.21844,0.00162,0.94932,0.95431,0.97583,0.93667,0.22125,0.20667,0.00138,0.000613088,0.000613088,0.000613088
42,1778.38,0.27234,0.20113,0.00155,0.95672,0.95485,0.97423,0.92882,0.23866,0.22323,0.00149,0.00060759,0.00060759,0.00060759
43,1819.09,0.26919,0.21274,0.00155,0.96201,0.94814,0.97547,0.92924,0.23776,0.21277,0.00147,0.000602092,0.000602092,0.000602092
44,1859.73,0.26843,0.20085,0.00152,0.96693,0.95143,0.98229,0.93042,0.23689,0.18939,0.00147,0.000596595,0.000596595,0.000596595
45,1900.64,0.27239,0.19179,0.00156,0.96953,0.95127,0.98133,0.92939,0.24879,0.19621,0.00156,0.000591097,0.000591097,0.000591097
46,1941.43,0.26537,0.18834,0.0015,0.95817,0.95071,0.97961,0.93243,0.22725,0.20113,0.00139,0.000585599,0.000585599,0.000585599
47,1982.29,0.25896,0.19384,0.00146,0.95955,0.95517,0.97206,0.92755,0.23508,0.22326,0.00146,0.000580101,0.000580101,0.000580101
48,2022.91,0.25277,0.20131,0.00142,0.95973,0.94194,0.97665,0.9268,0.24577,0.21376,0.00153,0.000574603,0.000574603,0.000574603
49,2063.7,0.26447,0.20077,0.00151,0.95978,0.95561,0.98182,0.93773,0.23026,0.18695,0.00142,0.000569106,0.000569106,0.000569106
50,2104.37,0.25167,0.19011,0.00144,0.95981,0.95989,0.98159,0.93933,0.22994,0.188,0.00142,0.000563608,0.000563608,0.000563608
51,2145.29,0.25364,0.18549,0.00144,0.9628,0.95522,0.98037,0.93884,0.21983,0.19414,0.00135,0.00055811,0.00055811,0.00055811
52,2186.48,0.24959,0.17775,0.00141,0.96269,0.95933,0.97865,0.93703,0.22492,0.22093,0.00137,0.000552612,0.000552612,0.000552612
53,2227.39,0.2537,0.18334,0.00143,0.96623,0.97071,0.98506,0.93567,0.2452,0.18528,0.00151,0.000547114,0.000547114,0.000547114
54,2268.22,0.25053,0.17829,0.00141,0.95616,0.95865,0.97876,0.93789,0.22762,0.21568,0.0014,0.000541617,0.000541617,0.000541617
55,2309.25,0.2485,0.19216,0.0014,0.97286,0.95091,0.97083,0.93148,0.22282,0.22258,0.00137,0.000536119,0.000536119,0.000536119
56,2349.93,0.24186,0.17457,0.00137,0.96599,0.96017,0.97828,0.94044,0.211,0.20775,0.0013,0.000530621,0.000530621,0.000530621
57,2391.01,0.23899,0.16685,0.00136,0.96088,0.95893,0.98232,0.94444,0.20926,0.18503,0.0013,0.000525123,0.000525123,0.000525123
58,2431.94,0.24873,0.1898,0.00141,0.96461,0.96254,0.98032,0.93434,0.22312,0.18541,0.00139,0.000519625,0.000519625,0.000519625
59,2472.64,0.24567,0.17054,0.00138,0.95478,0.948,0.96973,0.93262,0.20162,0.23947,0.00123,0.000514128,0.000514128,0.000514128
60,2513.32,0.23656,0.17678,0.00133,0.96788,0.95464,0.97791,0.93765,0.21825,0.19477,0.00135,0.00050863,0.00050863,0.00050863
61,2554.05,0.23161,0.16443,0.00131,0.96472,0.96578,0.97687,0.93817,0.20575,0.19871,0.00125,0.000503132,0.000503132,0.000503132
62,2594.74,0.23801,0.17744,0.00136,0.96887,0.95086,0.97391,0.93631,0.20454,0.21564,0.00125,0.000497634,0.000497634,0.000497634
63,2635.61,0.22541,0.16895,0.00126,0.96826,0.94407,0.96994,0.93275,0.22013,0.22533,0.00137,0.000492136,0.000492136,0.000492136
64,2676.5,0.22542,0.14825,0.0013,0.95806,0.96304,0.97941,0.94062,0.21452,0.20697,0.00131,0.000486639,0.000486639,0.000486639
65,2717.16,0.22769,0.16544,0.00126,0.95483,0.95459,0.97605,0.94066,0.2057,0.21351,0.00127,0.000481141,0.000481141,0.000481141
66,2757.98,0.21624,0.1472,0.0012,0.9498,0.96398,0.97664,0.93992,0.19862,0.22212,0.00122,0.000475643,0.000475643,0.000475643
67,2798.68,0.22928,0.172,0.00126,0.95422,0.97047,0.97794,0.9453,0.19137,0.19529,0.00117,0.000470145,0.000470145,0.000470145
68,2839.52,0.22368,0.15737,0.00125,0.96605,0.97078,0.98452,0.95108,0.19365,0.17167,0.00118,0.000464647,0.000464647,0.000464647
69,2880.44,0.22088,0.16405,0.00126,0.96696,0.96144,0.98347,0.94792,0.1962,0.17787,0.00121,0.00045915,0.00045915,0.00045915
70,2921.53,0.21562,0.15873,0.0012,0.96829,0.95923,0.97777,0.94479,0.19392,0.18569,0.00118,0.000453652,0.000453652,0.000453652
71,2962.5,0.22137,0.16071,0.00124,0.97381,0.96022,0.98515,0.95361,0.19623,0.1637,0.00119,0.000448154,0.000448154,0.000448154
72,3007.91,0.21891,0.1611,0.00122,0.9573,0.96703,0.97825,0.9472,0.18916,0.18754,0.00115,0.000442656,0.000442656,0.000442656
73,3048.59,0.21559,0.15207,0.00122,0.97521,0.95909,0.98458,0.94868,0.19178,0.18087,0.00117,0.000437158,0.000437158,0.000437158
74,3089.39,0.21101,0.14482,0.00121,0.96201,0.95513,0.97915,0.94577,0.19206,0.21789,0.00116,0.000431661,0.000431661,0.000431661
75,3130.07,0.21169,0.14956,0.00118,0.96549,0.95686,0.98232,0.9514,0.19398,0.18569,0.00118,0.000426163,0.000426163,0.000426163
76,3170.92,0.21041,0.14991,0.00116,0.97572,0.96999,0.98518,0.94992,0.20873,0.16238,0.00128,0.000420665,0.000420665,0.000420665
77,3212.12,0.20847,0.14456,0.00116,0.97566,0.96823,0.98398,0.9496,0.1974,0.16862,0.00121,0.000415167,0.000415167,0.000415167
78,3252.96,0.20522,0.13913,0.00115,0.96908,0.97228,0.97941,0.94689,0.18146,0.17667,0.00111,0.000409669,0.000409669,0.000409669
79,3293.68,0.20959,0.14424,0.00114,0.97359,0.96082,0.97776,0.9459,0.20321,0.19083,0.00124,0.000404172,0.000404172,0.000404172
80,3334.42,0.2017,0.13903,0.00112,0.96349,0.96655,0.9818,0.9489,0.18284,0.19114,0.00111,0.000398674,0.000398674,0.000398674
81,3375.08,0.20209,0.1426,0.00113,0.96626,0.96682,0.97911,0.9459,0.19234,0.19196,0.00118,0.000393176,0.000393176,0.000393176
82,3415.98,0.20044,0.14393,0.00111,0.97265,0.96209,0.98201,0.95081,0.18428,0.19235,0.00112,0.000387678,0.000387678,0.000387678
83,3456.85,0.19854,0.13579,0.00109,0.96847,0.96293,0.98488,0.95696,0.18235,0.18017,0.0011,0.00038218,0.00038218,0.00038218
84,3497.53,0.19541,0.13591,0.00108,0.95388,0.96115,0.98123,0.95183,0.19057,0.19804,0.00116,0.000376683,0.000376683,0.000376683
85,3538.29,0.19006,0.13245,0.00106,0.97854,0.96386,0.98381,0.9543,0.18981,0.18029,0.00116,0.000371185,0.000371185,0.000371185
86,3579.01,0.19337,0.13451,0.00105,0.97176,0.9646,0.98362,0.95177,0.19719,0.19511,0.00119,0.000365687,0.000365687,0.000365687
87,3619.75,0.19348,0.13908,0.00107,0.96573,0.96736,0.9836,0.95273,0.18575,0.18128,0.00113,0.000360189,0.000360189,0.000360189
88,3660.51,0.18633,0.12618,0.00102,0.9638,0.97162,0.98469,0.95601,0.17913,0.18178,0.00109,0.000354691,0.000354691,0.000354691
89,3701.42,0.19235,0.13232,0.00108,0.96081,0.95924,0.97598,0.94836,0.17866,0.2134,0.00108,0.000349194,0.000349194,0.000349194
