epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.3118,0.95271,2.72312,0.00621,0.58749,0.79611,0.69256,0.50941,0.69765,0.86312,0.00464,0.000289459,0.000289459,0.000289459
2,77.0009,0.79277,1.05146,0.00497,0.77985,0.79442,0.84015,0.65142,0.61331,0.58476,0.00408,0.000542212,0.000542212,0.000542212
3,102.518,0.71533,0.8035,0.00437,0.7879,0.81634,0.86272,0.68744,0.54431,0.57191,0.00354,0.000723044,0.000723044,0.000723044
4,127.307,0.68361,0.65834,0.00418,0.8464,0.84141,0.899,0.71071,0.55323,0.48406,0.00363,0.000668066,0.000668066,0.000668066
5,152.326,0.64534,0.59783,0.00387,0.86213,0.87186,0.9251,0.74415,0.53352,0.40942,0.00348,0.000613088,0.000613088,0.000613088
6,177.083,0.59817,0.53741,0.00359,0.88126,0.89218,0.93003,0.77508,0.46239,0.38218,0.00296,0.00055811,0.00055811,0.00055811
7,201.834,0.56685,0.51101,0.00334,0.90496,0.87748,0.94065,0.79369,0.43737,0.37581,0.00281,0.000503132,0.000503132,0.000503132
8,235.77,0.53467,0.44496,0.00339,0.89711,0.91406,0.94279,0.79001,0.45166,0.33309,0.00286,0.000448154,0.000448154,0.000448154
9,260.784,0.5033,0.40778,0.00318,0.89657,0.89932,0.94242,0.79614,0.44054,0.36923,0.00278,0.000393176,0.000393176,0.000393176
10,285.536,0.48201,0.3669,0.00302,0.91477,0.91869,0.95932,0.82878,0.39895,0.27474,0.00249,0.000338198,0.000338198,0.000338198
11,310.26,0.4706,0.36305,0.00296,0.92746,0.91196,0.95951,0.8228,0.42182,0.3053,0.00266,0.00028322,0.00028322,0.00028322
12,335.502,0.4451,0.33962,0.00277,0.94463,0.90548,0.96672,0.8473,0.37211,0.26516,0.00233,0.000228242,0.000228242,0.000228242
13,360.596,0.42693,0.31755,0.00265,0.943,0.93529,0.96768,0.85216,0.36873,0.25473,0.0023,0.000173264,0.000173264,0.000173264
14,385.405,0.4088,0.29279,0.00255,0.93516,0.92869,0.96752,0.8511,0.36223,0.26823,0.00226,0.000118286,0.000118286,0.000118286
15,410.056,0.40621,0.2846,0.00252,0.94755,0.93459,0.97116,0.86309,0.34788,0.23868,0.00216,6.3308e-05,6.3308e-05,6.3308e-05
