epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1549.76,0.31293,0.30551,0.81074,0.9575,0.95909,0.98356,0.94043,0.27873,0.29609,0.77521,0.00060759,0.00060759,0.00060759
43,1584.76,0.31703,0.30122,0.8107,0.9658,0.9624,0.98139,0.94381,0.26635,0.29084,0.77425,0.000602092,0.000602092,0.000602092
44,1619.64,0.31498,0.30305,0.80889,0.96746,0.95728,0.98312,0.94665,0.25864,0.29266,0.77136,0.000596595,0.000596595,0.000596595
45,1654.56,0.30894,0.29699,0.80813,0.96039,0.95534,0.98139,0.93836,0.28211,0.30079,0.77863,0.000591097,0.000591097,0.000591097
46,1689.52,0.30845,0.29422,0.80515,0.97214,0.97039,0.98689,0.95084,0.25705,0.26607,0.77008,0.000585599,0.000585599,0.000585599
47,1724.43,0.30303,0.28682,0.80381,0.96389,0.96049,0.9846,0.94493,0.26844,0.2789,0.77417,0.000580101,0.000580101,0.000580101
48,1759.37,0.3031,0.2886,0.80998,0.96648,0.95506,0.98303,0.94659,0.27427,0.28321,0.77186,0.000574603,0.000574603,0.000574603
49,1794.23,0.30618,0.29814,0.81044,0.96474,0.94654,0.97829,0.94163,0.26661,0.29637,0.77208,0.000569106,0.000569106,0.000569106
50,1829.11,0.29845,0.28736,0.80786,0.95215,0.97372,0.98276,0.94241,0.27193,0.2907,0.78029,0.000563608,0.000563608,0.000563608
51,1863.98,0.30446,0.29383,0.81017,0.97315,0.96667,0.98504,0.94825,0.26046,0.26002,0.77099,0.00055811,0.00055811,0.00055811
52,1898.94,0.3001,0.29006,0.81135,0.95645,0.96026,0.98236,0.94568,0.26268,0.28749,0.77237,0.000552612,0.000552612,0.000552612
53,1933.89,0.28936,0.28139,0.80474,0.97041,0.95705,0.98149,0.94561,0.2568,0.27937,0.77269,0.000547114,0.000547114,0.000547114
54,1968.71,0.29264,0.27425,0.81153,0.96375,0.96381,0.98735,0.95135,0.26132,0.27207,0.7749,0.000541617,0.000541617,0.000541617
55,2003.58,0.29868,0.28428,0.80998,0.9718,0.96322,0.98511,0.95073,0.2582,0.27377,0.77312,0.000536119,0.000536119,0.000536119
56,2038.42,0.28647,0.27132,0.80591,0.96254,0.96905,0.98647,0.95274,0.25614,0.27246,0.77162,0.000530621,0.000530621,0.000530621
57,2073.4,0.28555,0.26125,0.80714,0.9611,0.96492,0.98148,0.94995,0.25302,0.29018,0.77062,0.000525123,0.000525123,0.000525123
58,2108.41,0.27968,0.26341,0.79843,0.96419,0.95464,0.98243,0.94722,0.25559,0.29103,0.77264,0.000519625,0.000519625,0.000519625
59,2145.06,0.26703,0.25602,0.79947,0.97703,0.96987,0.98436,0.95253,0.2446,0.2542,0.76891,0.000514128,0.000514128,0.000514128
60,2182.34,0.27599,0.26229,0.80058,0.96028,0.97249,0.98448,0.95205,0.24356,0.2599,0.76981,0.00050863,0.00050863,0.00050863
61,2219.45,0.26781,0.24395,0.79713,0.96212,0.98143,0.98568,0.95668,0.23881,0.24379,0.76774,0.000503132,0.000503132,0.000503132
62,2256.46,0.27279,0.25382,0.79897,0.97095,0.95947,0.98419,0.95237,0.24448,0.26448,0.76919,0.000497634,0.000497634,0.000497634
63,2293.65,0.27112,0.25432,0.80162,0.97565,0.96363,0.98573,0.95665,0.23998,0.25306,0.76976,0.000492136,0.000492136,0.000492136
64,2331.01,0.26915,0.25223,0.80493,0.97041,0.97939,0.98778,0.9588,0.23594,0.23877,0.766,0.000486639,0.000486639,0.000486639
65,2368.58,0.26468,0.24697,0.79907,0.97126,0.96526,0.9848,0.95606,0.24507,0.25625,0.76834,0.000481141,0.000481141,0.000481141
66,2405.48,0.27357,0.25232,0.80099,0.96444,0.97257,0.98765,0.95581,0.24292,0.25795,0.7727,0.000475643,0.000475643,0.000475643
67,2440.86,0.26712,0.25506,0.80276,0.96957,0.96426,0.98597,0.95584,0.23477,0.2541,0.76649,0.000470145,0.000470145,0.000470145
68,2475.81,0.26524,0.24845,0.80053,0.97357,0.96764,0.98962,0.96102,0.23518,0.24669,0.76668,0.000464647,0.000464647,0.000464647
69,2511.51,0.26451,0.24457,0.80201,0.9683,0.97127,0.98752,0.9548,0.23915,0.2568,0.7711,0.00045915,0.00045915,0.00045915
70,2548.31,0.26211,0.24299,0.79822,0.96237,0.96741,0.98327,0.94491,0.26786,0.27538,0.773,0.000453652,0.000453652,0.000453652
71,2584.55,0.2616,0.24922,0.79934,0.97055,0.97497,0.98851,0.95851,0.23215,0.2316,0.76926,0.000448154,0.000448154,0.000448154
72,2620.78,0.25431,0.23107,0.7984,0.97382,0.97721,0.98714,0.96002,0.23621,0.23433,0.76807,0.000442656,0.000442656,0.000442656
73,2656.85,0.25427,0.2335,0.79898,0.97616,0.97539,0.98522,0.9549,0.2372,0.24001,0.77204,0.000437158,0.000437158,0.000437158
74,2693.27,0.26344,0.25179,0.80064,0.97764,0.97583,0.9895,0.96189,0.23833,0.22515,0.76992,0.000431661,0.000431661,0.000431661
75,2729.44,0.24719,0.23013,0.79921,0.96949,0.98071,0.98848,0.95848,0.23125,0.23074,0.7712,0.000426163,0.000426163,0.000426163
76,2765.98,0.24983,0.23377,0.7979,0.97755,0.97251,0.98651,0.95666,0.23159,0.23116,0.76802,0.000420665,0.000420665,0.000420665
77,2802.53,0.24647,0.231,0.79638,0.97361,0.97298,0.98654,0.95836,0.2306,0.23068,0.76804,0.000415167,0.000415167,0.000415167
78,2838.5,0.24444,0.22867,0.79796,0.95982,0.9813,0.98525,0.95822,0.22629,0.23565,0.76894,0.000409669,0.000409669,0.000409669
79,2874.51,0.24266,0.22959,0.79608,0.96377,0.97392,0.98298,0.95113,0.22735,0.25166,0.76926,0.000404172,0.000404172,0.000404172
80,2910.79,0.24298,0.22999,0.79269,0.9701,0.9632,0.98828,0.96008,0.22739,0.2331,0.76884,0.000398674,0.000398674,0.000398674
81,2947.28,0.24623,0.22829,0.7974,0.97485,0.97765,0.98923,0.95917,0.23333,0.2281,0.77155,0.000393176,0.000393176,0.000393176
82,2983.31,0.24013,0.23115,0.79673,0.96436,0.97237,0.9829,0.95426,0.23053,0.25346,0.76845,0.000387678,0.000387678,0.000387678
83,3019.5,0.23945,0.22238,0.7975,0.97346,0.97456,0.99073,0.96367,0.22444,0.22039,0.76772,0.00038218,0.00038218,0.00038218
84,3055.78,0.23746,0.22415,0.79099,0.96906,0.97245,0.98843,0.96059,0.21581,0.23318,0.76702,0.000376683,0.000376683,0.000376683
85,3092.05,0.23374,0.22168,0.79217,0.97126,0.97658,0.98721,0.96237,0.21627,0.23032,0.76697,0.000371185,0.000371185,0.000371185
86,3128.25,0.23198,0.21717,0.79511,0.97777,0.96985,0.98817,0.96281,0.21439,0.21931,0.76672,0.000365687,0.000365687,0.000365687
87,3164.73,0.23399,0.21716,0.7944,0.96294,0.97603,0.98011,0.95627,0.21891,0.24556,0.76577,0.000360189,0.000360189,0.000360189
88,3200.67,0.23594,0.22076,0.79487,0.97177,0.96954,0.98961,0.96517,0.21203,0.22167,0.76316,0.000354691,0.000354691,0.000354691
89,3236.83,0.23582,0.21813,0.79498,0.97375,0.97268,0.98443,0.95677,0.21455,0.22997,0.76625,0.000349194,0.000349194,0.000349194
90,3272.98,0.23013,0.21352,0.79685,0.97452,0.97792,0.98637,0.95886,0.22481,0.22278,0.76981,0.000343696,0.000343696,0.000343696
91,3308.97,0.23252,0.21696,0.7935,0.97509,0.97224,0.98595,0.95937,0.21877,0.22899,0.76836,0.000338198,0.000338198,0.000338198
92,3345.03,0.22609,0.2134,0.79908,0.97507,0.97504,0.98332,0.95679,0.21847,0.23139,0.76888,0.0003327,0.0003327,0.0003327
93,3381.4,0.23575,0.21905,0.79672,0.97528,0.97896,0.98702,0.96025,0.21873,0.21477,0.76698,0.000327202,0.000327202,0.000327202
94,3417.17,0.22995,0.20798,0.79327,0.97355,0.96856,0.9836,0.95616,0.21517,0.23707,0.76463,0.000321705,0.000321705,0.000321705
95,3453.29,0.22449,0.20758,0.7925,0.9767,0.9819,0.99107,0.96517,0.21645,0.20203,0.76519,0.000316207,0.000316207,0.000316207
96,3489.6,0.22362,0.21305,0.79217,0.96363,0.97145,0.98065,0.95179,0.21932,0.2493,0.76749,0.000310709,0.000310709,0.000310709
97,3526.13,0.21982,0.20517,0.7945,0.96803,0.9788,0.98883,0.96193,0.21546,0.22669,0.76659,0.000305211,0.000305211,0.000305211
98,3562.34,0.2214,0.20856,0.79763,0.97362,0.97014,0.98597,0.95753,0.2305,0.23813,0.76818,0.000299713,0.000299713,0.000299713
