epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1471.86,0.30162,0.28488,0.80944,0.96818,0.96198,0.98627,0.93997,0.28061,0.28506,0.7787,0.000608842,0.000608842,0.000608842
43,1507.12,0.30137,0.27404,0.81051,0.97824,0.95732,0.98624,0.94232,0.26696,0.25981,0.77498,0.000603375,0.000603375,0.000603375
44,1542.63,0.30028,0.27764,0.8078,0.97206,0.9661,0.98561,0.93862,0.27075,0.27321,0.77733,0.000597908,0.000597908,0.000597908
45,1577.97,0.29858,0.26965,0.8094,0.9697,0.96752,0.97987,0.93531,0.28064,0.28441,0.77899,0.000592441,0.000592441,0.000592441
46,1613.34,0.29856,0.27289,0.80941,0.95494,0.94156,0.98091,0.93181,0.28331,0.32917,0.78221,0.000586973,0.000586973,0.000586973
47,1648.82,0.29243,0.27814,0.80879,0.96482,0.95954,0.98535,0.93941,0.27445,0.28747,0.77756,0.000581506,0.000581506,0.000581506
48,1684.3,0.28441,0.26073,0.80651,0.96356,0.97838,0.98816,0.94862,0.25864,0.24842,0.77502,0.000576039,0.000576039,0.000576039
49,1719.66,0.28185,0.25372,0.80837,0.96701,0.98023,0.98731,0.94636,0.2669,0.24864,0.77856,0.000570572,0.000570572,0.000570572
50,1755.02,0.28644,0.25748,0.80991,0.98021,0.97025,0.98917,0.94925,0.26841,0.24394,0.77816,0.000565104,0.000565104,0.000565104
51,1790.49,0.28419,0.26471,0.80711,0.97435,0.97165,0.99025,0.94966,0.2739,0.24285,0.77977,0.000559637,0.000559637,0.000559637
52,1825.83,0.29119,0.26331,0.80581,0.96341,0.96613,0.98123,0.94104,0.25871,0.28302,0.77526,0.00055417,0.00055417,0.00055417
53,1861.34,0.27828,0.25873,0.8072,0.9703,0.96552,0.98665,0.94646,0.25936,0.26032,0.77637,0.000548703,0.000548703,0.000548703
54,1896.83,0.27523,0.25321,0.80838,0.97534,0.96885,0.98516,0.94794,0.24211,0.25412,0.77081,0.000543235,0.000543235,0.000543235
55,1932.24,0.27363,0.24543,0.80756,0.96805,0.96479,0.98442,0.94364,0.24954,0.27445,0.77381,0.000537768,0.000537768,0.000537768
56,1967.46,0.27403,0.24919,0.80332,0.97609,0.95664,0.98337,0.94314,0.25628,0.27449,0.77528,0.000532301,0.000532301,0.000532301
57,2002.94,0.27445,0.25277,0.80331,0.96005,0.97745,0.98551,0.94648,0.25751,0.25975,0.77706,0.000526834,0.000526834,0.000526834
58,2038.36,0.27958,0.25633,0.80801,0.97207,0.9575,0.98143,0.94282,0.25467,0.28227,0.77554,0.000521366,0.000521366,0.000521366
59,2073.69,0.2733,0.24054,0.80506,0.96491,0.98082,0.98601,0.94845,0.25329,0.25261,0.77459,0.000515899,0.000515899,0.000515899
60,2109.18,0.27389,0.24588,0.80676,0.97043,0.96163,0.98099,0.94558,0.24958,0.27706,0.7745,0.000510432,0.000510432,0.000510432
61,2144.68,0.26738,0.24272,0.80672,0.96946,0.95875,0.97989,0.93951,0.26022,0.28468,0.77647,0.000504965,0.000504965,0.000504965
62,2179.97,0.26675,0.24378,0.80431,0.97177,0.96499,0.98729,0.95154,0.24271,0.24544,0.77258,0.000499497,0.000499497,0.000499497
63,2215.67,0.26248,0.24355,0.80412,0.96475,0.97688,0.98715,0.95077,0.25041,0.24358,0.77569,0.00049403,0.00049403,0.00049403
64,2251.1,0.2634,0.24472,0.80501,0.96759,0.97382,0.98385,0.94655,0.24838,0.26224,0.77191,0.000488563,0.000488563,0.000488563
65,2286.34,0.25602,0.2405,0.80277,0.97033,0.96572,0.98664,0.94713,0.25096,0.25963,0.77394,0.000483096,0.000483096,0.000483096
66,2321.81,0.25319,0.23345,0.80497,0.96901,0.96478,0.98438,0.94669,0.24567,0.26283,0.77435,0.000477628,0.000477628,0.000477628
67,2357.27,0.25685,0.24087,0.80575,0.96302,0.97355,0.98975,0.95259,0.24963,0.24674,0.77597,0.000472161,0.000472161,0.000472161
68,2392.68,0.25481,0.23435,0.80367,0.97522,0.96838,0.98579,0.95118,0.24662,0.24456,0.77463,0.000466694,0.000466694,0.000466694
69,2427.96,0.25749,0.23849,0.80364,0.96141,0.96999,0.98626,0.9523,0.23666,0.25348,0.77245,0.000461227,0.000461227,0.000461227
70,2463.52,0.24562,0.22747,0.80445,0.97305,0.96613,0.98582,0.95003,0.24055,0.23862,0.7746,0.000455759,0.000455759,0.000455759
71,2498.78,0.24276,0.22209,0.79622,0.97179,0.96573,0.98569,0.94769,0.23395,0.24992,0.77326,0.000450292,0.000450292,0.000450292
72,2534.19,0.24486,0.22053,0.79778,0.96291,0.97021,0.98542,0.94948,0.24172,0.24507,0.77541,0.000444825,0.000444825,0.000444825
73,2569.67,0.24779,0.22382,0.80437,0.97702,0.96334,0.98545,0.95229,0.23581,0.2466,0.77163,0.000439358,0.000439358,0.000439358
74,2605.16,0.24792,0.22464,0.80091,0.97606,0.96488,0.98771,0.95506,0.23669,0.23622,0.7712,0.00043389,0.00043389,0.00043389
75,2640.41,0.24496,0.22514,0.80044,0.9755,0.96393,0.9851,0.95145,0.23462,0.2433,0.77196,0.000428423,0.000428423,0.000428423
76,2675.82,0.24156,0.21747,0.80125,0.97537,0.96864,0.98885,0.95469,0.22494,0.21979,0.77174,0.000422956,0.000422956,0.000422956
77,2711.2,0.23459,0.21538,0.79518,0.97967,0.9718,0.98971,0.95711,0.23076,0.2137,0.7723,0.000417488,0.000417488,0.000417488
78,2746.52,0.23991,0.2225,0.80476,0.97105,0.97583,0.98522,0.95586,0.2241,0.22791,0.77125,0.000412021,0.000412021,0.000412021
79,2781.97,0.23878,0.21706,0.79764,0.96922,0.98051,0.9864,0.95671,0.22363,0.23147,0.77022,0.000406554,0.000406554,0.000406554
80,2817.47,0.23289,0.21315,0.79532,0.96462,0.97379,0.98544,0.95187,0.22733,0.23708,0.77109,0.000401087,0.000401087,0.000401087
81,2852.82,0.23805,0.21317,0.80461,0.96125,0.97583,0.98639,0.95381,0.22693,0.23619,0.77022,0.000395619,0.000395619,0.000395619
82,2889.84,0.24067,0.21423,0.79703,0.96677,0.97106,0.98489,0.95188,0.22679,0.23429,0.77003,0.000390152,0.000390152,0.000390152
83,2925.29,0.23361,0.2105,0.79785,0.96776,0.97108,0.98159,0.94892,0.21777,0.23537,0.77096,0.000384685,0.000384685,0.000384685
84,2960.5,0.23195,0.20337,0.79902,0.97043,0.97343,0.98766,0.95734,0.22717,0.22579,0.77115,0.000379218,0.000379218,0.000379218
85,2996.01,0.22398,0.2032,0.79391,0.9733,0.97633,0.99084,0.95941,0.23006,0.20981,0.77393,0.00037375,0.00037375,0.00037375
86,3031.53,0.23033,0.21243,0.79748,0.97288,0.97329,0.98975,0.95801,0.2279,0.22037,0.77174,0.000368283,0.000368283,0.000368283
87,3066.95,0.22959,0.21204,0.79944,0.97315,0.98108,0.99059,0.95913,0.22652,0.20765,0.76956,0.000362816,0.000362816,0.000362816
88,3102.11,0.22223,0.20158,0.79463,0.97607,0.97387,0.98981,0.96056,0.21782,0.21161,0.76988,0.000357349,0.000357349,0.000357349
89,3137.6,0.22232,0.19891,0.79728,0.97724,0.97508,0.98643,0.95643,0.22117,0.21672,0.77171,0.000351881,0.000351881,0.000351881
90,3172.91,0.22711,0.202,0.79671,0.9679,0.97989,0.98648,0.95793,0.21673,0.21922,0.7704,0.000346414,0.000346414,0.000346414
91,3208.17,0.21402,0.19468,0.79502,0.97024,0.97389,0.98214,0.95184,0.21679,0.22761,0.7723,0.000340947,0.000340947,0.000340947
92,3243.69,0.22651,0.19926,0.7986,0.97765,0.97889,0.98703,0.9561,0.22283,0.21089,0.77148,0.00033548,0.00033548,0.00033548
93,3279.18,0.21634,0.19694,0.79624,0.97172,0.97435,0.98638,0.95601,0.22549,0.21964,0.77173,0.000330012,0.000330012,0.000330012
94,3314.44,0.21577,0.20187,0.79551,0.9762,0.97324,0.98579,0.95701,0.21362,0.22535,0.77163,0.000324545,0.000324545,0.000324545
95,3349.74,0.21613,0.19604,0.79594,0.97297,0.97902,0.98792,0.95878,0.22233,0.21165,0.7718,0.000319078,0.000319078,0.000319078
96,3385.14,0.22178,0.19969,0.79812,0.97471,0.96476,0.98247,0.95306,0.21996,0.23935,0.77392,0.000313611,0.000313611,0.000313611
97,3420.39,0.21741,0.19872,0.79784,0.97481,0.96707,0.98021,0.9482,0.23001,0.24099,0.77183,0.000308143,0.000308143,0.000308143
98,3455.81,0.20715,0.1916,0.79511,0.95624,0.97722,0.98248,0.95144,0.21323,0.23732,0.7723,0.000302676,0.000302676,0.000302676
99,3491.27,0.21426,0.19447,0.796,0.96645,0.97449,0.98337,0.95451,0.21505,0.22359,0.77053,0.000297209,0.000297209,0.000297209
100,3526.69,0.21745,0.198,0.79694,0.98229,0.96984,0.98636,0.95681,0.2177,0.20673,0.77327,0.000291742,0.000291742,0.000291742
101,3561.91,0.21222,0.1928,0.79766,0.96802,0.97501,0.98572,0.95571,0.21628,0.21731,0.76996,0.000286274,0.000286274,0.000286274
102,3597.45,0.21728,0.19639,0.79671,0.97835,0.97708,0.98566,0.95675,0.22164,0.2081,0.77146,0.000280807,0.000280807,0.000280807
103,3632.72,0.20521,0.18457,0.79752,0.97074,0.97168,0.98599,0.95618,0.21273,0.22202,0.769,0.00027534,0.00027534,0.00027534
104,3668.03,0.20688,0.1879,0.79165,0.97535,0.96202,0.98285,0.95382,0.21029,0.23149,0.76931,0.000269873,0.000269873,0.000269873
105,3703.52,0.20589,0.181,0.7935,0.97653,0.96766,0.98235,0.95426,0.21281,0.2238,0.76815,0.000264405,0.000264405,0.000264405
106,3738.99,0.20169,0.18579,0.79017,0.97377,0.97514,0.98617,0.95906,0.20857,0.21123,0.76835,0.000258938,0.000258938,0.000258938
107,3774.21,0.20215,0.18439,0.79659,0.9738,0.97651,0.98644,0.95994,0.20369,0.20512,0.76857,0.000253471,0.000253471,0.000253471
108,3809.56,0.20505,0.18802,0.79272,0.97168,0.97683,0.9867,0.95877,0.20583,0.20568,0.76839,0.000248004,0.000248004,0.000248004
