epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1444.75,0.30798,0.29567,0.80847,0.96741,0.95842,0.98509,0.94389,0.26748,0.30177,0.78064,0.00060759,0.00060759,0.00060759
43,1479.42,0.30789,0.28138,0.80917,0.96376,0.9529,0.97995,0.93207,0.27977,0.30585,0.78334,0.000602092,0.000602092,0.000602092
44,1513.77,0.30021,0.28622,0.80722,0.97001,0.95561,0.9818,0.93929,0.26886,0.28663,0.77935,0.000596595,0.000596595,0.000596595
45,1548.22,0.29749,0.29005,0.80638,0.95778,0.96392,0.98478,0.93945,0.27783,0.30208,0.78038,0.000591097,0.000591097,0.000591097
46,1582.68,0.29722,0.28497,0.80448,0.96871,0.96463,0.98502,0.94188,0.2678,0.28007,0.78069,0.000585599,0.000585599,0.000585599
47,1617.06,0.28802,0.27498,0.80359,0.95737,0.97,0.9836,0.93901,0.26969,0.28707,0.78157,0.000580101,0.000580101,0.000580101
48,1651.46,0.30231,0.28884,0.80885,0.9619,0.96104,0.98316,0.93873,0.27268,0.28891,0.7791,0.000574603,0.000574603,0.000574603
49,1685.58,0.29818,0.28473,0.80849,0.96585,0.96332,0.98379,0.94044,0.26818,0.28128,0.77756,0.000569106,0.000569106,0.000569106
50,1719.75,0.28746,0.26869,0.80765,0.97664,0.96783,0.98633,0.93792,0.28473,0.27312,0.78551,0.000563608,0.000563608,0.000563608
51,1754.15,0.29269,0.27518,0.80801,0.97174,0.9684,0.98638,0.9489,0.24714,0.2552,0.77561,0.00055811,0.00055811,0.00055811
52,1788.57,0.28508,0.27383,0.8087,0.96623,0.96813,0.98254,0.94217,0.25717,0.27876,0.77852,0.000552612,0.000552612,0.000552612
53,1822.96,0.27425,0.27016,0.80098,0.97085,0.9733,0.9832,0.9423,0.25907,0.26984,0.7762,0.000547114,0.000547114,0.000547114
54,1857.42,0.28156,0.26363,0.80928,0.96646,0.96295,0.9799,0.93899,0.26228,0.29591,0.7778,0.000541617,0.000541617,0.000541617
55,1891.76,0.28597,0.26933,0.80732,0.9717,0.96389,0.98437,0.94287,0.26841,0.28229,0.77992,0.000536119,0.000536119,0.000536119
56,1925.86,0.27485,0.2604,0.80344,0.97136,0.96414,0.98002,0.93591,0.271,0.28836,0.78025,0.000530621,0.000530621,0.000530621
57,1960.16,0.27911,0.2638,0.80728,0.97382,0.97123,0.9865,0.94788,0.2615,0.25874,0.77869,0.000525123,0.000525123,0.000525123
58,1994.53,0.27219,0.25177,0.79808,0.95979,0.9699,0.98386,0.94267,0.25927,0.27854,0.7782,0.000519625,0.000519625,0.000519625
59,2028.92,0.26615,0.25755,0.8006,0.962,0.96938,0.98607,0.94786,0.26267,0.2767,0.77718,0.000514128,0.000514128,0.000514128
60,2063.29,0.27104,0.2561,0.79791,0.96234,0.96705,0.98326,0.94658,0.25214,0.26955,0.77808,0.00050863,0.00050863,0.00050863
61,2097.76,0.2562,0.23703,0.79683,0.97034,0.96158,0.98147,0.94286,0.24465,0.27387,0.77629,0.000503132,0.000503132,0.000503132
62,2132.16,0.25794,0.24786,0.796,0.96232,0.97139,0.98648,0.95016,0.24618,0.26622,0.77442,0.000497634,0.000497634,0.000497634
63,2166.2,0.2607,0.24475,0.79937,0.97438,0.96025,0.98413,0.94885,0.2442,0.26624,0.77479,0.000492136,0.000492136,0.000492136
